id,partnerid,sessionid,ageyo,sex,ethnicity,rfattrac,rkindunder,sim_manuallandmarks,avg_manuallandmarks,LD1_manuallandmarks,year,ethnicityhighgroup,partnerclass_hg,ethnicmatch_hg,partnermasc_LDA_manuallandmarks,sim_NN,sim_autolandmarks,LD1_autolandmarks,gsd_autolandmarked,pitch_angle,roll_angle,yaw_angle,avg_NN,LD_NN,gsd_NN,gsd_manuallandmarks,avg_autolandmark
14000035,14001032,1403,18.08333,1,Sri Lankan/South East Asian,3,5,-0.087967867,-0.075402014,0.726806146,2014,Asian,Caucasian,-1,-1.213619301,-965.0445314,-0.07638386,1.883396988,2.072939205,-2.0935366,1.5421115,-2.8060389,-640.8095892,3.387682078,1.120182491,2.017420684,-0.050728541
14000035,14001033,1403,18.08333,1,Sri Lankan/South East Asian,4,6,-0.060946225,-0.075402014,0.726806146,2014,Asian,Caucasian,-1,-0.463715732,-950.3313008,-0.054821765,1.883396988,2.072939205,-2.0935366,1.5421115,-2.8060389,-640.8095892,3.387682078,1.120182491,2.017420684,-0.050728541
14000035,14001034,1403,18.08333,1,Sri Lankan/South East Asian,3,5,-0.065621205,-0.075402014,0.726806146,2014,Asian,Asian,1,-0.586310348,-640.2304605,-0.066474448,1.883396988,2.072939205,-2.0935366,1.5421115,-2.8060389,-640.8095892,3.387682078,1.120182491,2.017420684,-0.050728541
14000035,14001035,1403,18.08333,1,Sri Lankan/South East Asian,3,5,-0.067075179,-0.075402014,0.726806146,2014,Asian,Caucasian,-1,-1.167108313,-910.2571461,-0.07295522,1.883396988,2.072939205,-2.0935366,1.5421115,-2.8060389,-640.8095892,3.387682078,1.120182491,2.017420684,-0.050728541
14000041,14001041,1404,20.91667,1,Asian,2,4,-0.082098417,-0.05125245,0.310828485,2014,Asian,Caucasian,-1,-0.356977437,-944.4590511,-0.075704323,-0.469148798,-1.913265701,4.9389253,0.15707077,5.6970296,-508.0263177,3.602229824,1.105402294,-1.54423572,-0.060339502
14000041,14001042,1404,20.91667,1,Asian,2,4,-0.112813625,-0.05125245,0.310828485,2014,Asian,Caucasian,-1,-0.830313175,-843.493644,-0.090079091,-0.469148798,-1.913265701,4.9389253,0.15707077,5.6970296,-508.0263177,3.602229824,1.105402294,-1.54423572,-0.060339502
14000041,14001043,1404,20.91667,1,Asian,3,4,-0.085416799,-0.05125245,0.310828485,2014,Asian,Caucasian,-1,-0.662162355,-784.1308891,-0.044295949,-0.469148798,-1.913265701,4.9389253,0.15707077,5.6970296,-508.0263177,3.602229824,1.105402294,-1.54423572,-0.060339502
14000041,14001044,1404,20.91667,1,Asian,1,2,-0.077218533,-0.05125245,0.310828485,2014,Asian,Caucasian,-1,-1.169838257,-860.5269427,-0.057112789,-0.469148798,-1.913265701,4.9389253,0.15707077,5.6970296,-508.0263177,3.602229824,1.105402294,-1.54423572,-0.060339502
14000041,14001045,1404,20.91667,1,Asian,4,6,-0.072480776,-0.05125245,0.310828485,2014,Asian,Caucasian,-1,-0.896632226,-816.4165841,-0.041424911,-0.469148798,-1.913265701,4.9389253,0.15707077,5.6970296,-508.0263177,3.602229824,1.105402294,-1.54423572,-0.060339502
14000042,14001041,1404,17.91667,1,Caucasian,4,6,-0.085966417,-0.072718083,0.284636314,2014,Caucasian,Caucasian,1,-0.356977437,-844.8972088,-0.088904226,2.3770949,1.708857504,-5.8343773,-1.8303431,6.020519,-469.3648152,4.256903207,0.884757852,1.900383103,-0.046973663
